timestamp,gaze_x,gaze_y,blink,gaze_dir,head_status,ear_left,ear_right
8.6536,0.43017,0.67466,0,<- LEFT,FORWARD,0.2844,0.2833
8.7168,0.42947,0.67434,0,<- LEFT,FORWARD,0.2746,0.287
8.7799,0.42793,0.67385,0,<- LEFT,FORWARD,0.2746,0.2937
8.8484,0.427,0.67403,0,<- LEFT,FORWARD,0.2836,0.2973
8.9239,0.42534,0.67441,0,<- LEFT,FORWARD,0.2919,0.2886
8.9743,0.42489,0.67455,0,<- LEFT,FORWARD,0.2884,0.2851
9.0389,0.42268,0.67282,0,<- LEFT,FORWARD,0.3059,0.3065
9.1158,0.42221,0.67229,0,<- LEFT,FORWARD,0.3207,0.303
9.1769,0.42163,0.67178,0,<- LEFT,FORWARD,0.3255,0.3214
9.2421,0.4207,0.67146,0,<- LEFT,FORWARD,0.3383,0.3205
9.304,0.42058,0.67131,0,<- LEFT,FORWARD,0.3383,0.3237
9.3741,0.42052,0.6713,0,<- LEFT,FORWARD,0.3383,0.3374
9.4322,0.42053,0.67048,0,<- LEFT,FORWARD,0.3374,0.3345
9.4978,0.42053,0.6703,0,<- LEFT,FORWARD,0.3374,0.3205
9.5792,0.42058,0.67042,0,<- LEFT,FORWARD,0.3374,0.3345
9.6385,0.42068,0.67038,0,<- LEFT,FORWARD,0.3374,0.3345
9.7024,0.42083,0.67027,0,<- LEFT,FORWARD,0.3417,0.3374
9.7664,0.42085,0.67024,0,<- LEFT,FORWARD,0.3323,0.3281
9.8286,0.42094,0.66995,0,<- LEFT,FORWARD,0.3323,0.3374
9.8908,0.42103,0.66985,0,<- LEFT,FORWARD,0.3323,0.3342
9.9551,0.42236,0.67091,0,<- LEFT,FORWARD,0.3156,0.3205
10.0179,0.42284,0.6717,0,<- LEFT,FORWARD,0.3246,0.3345
10.083,0.42285,0.67223,0,<- LEFT,FORWARD,0.3246,0.3308
10.1568,0.42266,0.67254,0,<- LEFT,FORWARD,0.3383,0.3308
10.2229,0.42272,0.67243,0,<- LEFT,FORWARD,0.3383,0.3132
10.2908,0.42266,0.67236,0,<- LEFT,FORWARD,0.3252,0.3138
10.3663,0.4225,0.67238,0,<- LEFT,FORWARD,0.3308,0.3132
10.4264,0.42241,0.67254,0,<- LEFT,FORWARD,0.3115,0.3074
10.4774,0.42238,0.67267,0,<- LEFT,FORWARD,0.3115,0.3074
10.5377,0.4221,0.67423,0,<- LEFT,FORWARD,0.3252,0.3214
10.5995,0.4218,0.67515,0,<- LEFT,FORWARD,0.3072,0.3023
10.6643,0.42163,0.67524,0,<- LEFT,FORWARD,0.2919,0.3059
10.7277,0.42159,0.67534,0,<- LEFT,FORWARD,0.2925,0.3059
10.7928,0.42142,0.67653,0,<- LEFT,FORWARD,0.3207,0.3059
10.8475,0.42141,0.67685,0,<- LEFT,FORWARD,0.3059,0.3059
10.9155,0.42134,0.67679,0,<- LEFT,FORWARD,0.3059,0.3059
10.9761,0.42139,0.67674,0,<- LEFT,FORWARD,0.3059,0.3059
11.0479,0.42146,0.67672,0,<- LEFT,FORWARD,0.3059,0.3059
11.1012,0.42114,0.67663,0,<- LEFT,FORWARD,0.3059,0.3023
11.1686,0.42098,0.67656,0,<- LEFT,FORWARD,0.3065,0.3023
11.2294,0.4214,0.67647,0,<- LEFT,FORWARD,0.3207,0.3059
11.2992,0.42108,0.6755,0,<- LEFT,FORWARD,0.3207,0.3132
11.3541,0.421,0.67532,0,<- LEFT,FORWARD,0.3162,0.2979
11.4226,0.4198,0.67219,0,<- LEFT,FORWARD,0.3392,0.341
11.4902,0.41983,0.67105,0,<- LEFT,FORWARD,0.3427,0.3439
11.5631,0.41982,0.67046,0,<- LEFT,FORWARD,0.3289,0.3342
11.6272,0.42057,0.66929,0,<- LEFT,FORWARD,0.329,0.3453
11.6755,0.42258,0.66873,0,<- LEFT,FORWARD,0.3424,0.3492
11.7461,0.42329,0.66853,0,<- LEFT,FORWARD,0.3463,0.3314
11.8018,0.42345,0.66851,0,<- LEFT,FORWARD,0.3296,0.3352
11.8507,0.42447,0.66909,0,<- LEFT,FORWARD,0.3266,0.3354
11.9142,0.42477,0.66921,0,<- LEFT,FORWARD,0.3252,0.3354
11.9792,0.42593,0.66944,0,<- LEFT,FORWARD,0.3115,0.3183
12.0439,0.42643,0.66956,0,<- LEFT,FORWARD,0.3246,0.3308
12.0859,0.4277,0.66965,0,<- LEFT,FORWARD,0.3023,0.32
12.1501,0.42754,0.66994,0,<- LEFT,FORWARD,0.3115,0.3167
12.2134,0.42759,0.6702,0,<- LEFT,FORWARD,0.3162,0.32
12.2785,0.42737,0.6709,0,<- LEFT,FORWARD,0.3162,0.2988
12.3429,0.42462,0.6709,0,<- LEFT,FORWARD,0.3162,0.3114
12.4086,0.42394,0.67093,0,<- LEFT,FORWARD,0.3115,0.3023
12.4766,0.42107,0.66932,0,<- LEFT,FORWARD,0.3289,0.3323
12.5361,0.4188,0.66892,0,<- LEFT,FORWARD,0.3246,0.3214
12.6158,0.41827,0.66872,0,<- LEFT,FORWARD,0.3289,0.3156
12.6843,0.41175,0.6684,0,<- LEFT,FORWARD,0.3246,0.3359
12.7566,0.40949,0.66859,0,<- LEFT,FORWARD,0.3339,0.3342
12.8215,0.40924,0.66868,0,<- LEFT,FORWARD,0.3299,0.3281
12.885,0.40799,0.66898,0,<- LEFT,FORWARD,0.3118,0.3149
12.953,0.40812,0.6692,0,<- LEFT,FORWARD,0.3299,0.3194
13.0042,0.40811,0.66962,0,<- LEFT,FORWARD,0.3437,0.3225
13.0733,0.40995,0.67231,0,<- LEFT,FORWARD,0.3207,0.3069
13.1273,0.41169,0.67256,0,<- LEFT,FORWARD,0.3014,0.305
13.198,0.41241,0.67258,0,<- LEFT,FORWARD,0.2977,0.3068
13.2632,0.41498,0.67289,0,<- LEFT,FORWARD,0.3067,0.3132
13.3024,0.41672,0.67297,0,<- LEFT,FORWARD,0.3174,0.32
13.3668,0.41713,0.67315,0,<- LEFT,FORWARD,0.3207,0.3308
13.4401,0.41817,0.67313,0,<- LEFT,FORWARD,0.3207,0.3132
13.4953,0.41845,0.67311,0,<- LEFT,FORWARD,0.3207,0.32
13.5597,0.41946,0.67366,0,<- LEFT,FORWARD,0.3207,0.2979
13.6261,0.42004,0.67414,0,<- LEFT,FORWARD,0.3114,0.305
13.6909,0.42032,0.67458,0,<- LEFT,FORWARD,0.2925,0.305
13.7617,0.42058,0.67521,0,<- LEFT,FORWARD,0.2785,0.2779
13.8133,0.42057,0.67512,0,<- LEFT,FORWARD,0.2785,0.3007
13.8788,0.42051,0.67512,0,<- LEFT,FORWARD,0.287,0.3059
13.9348,0.42068,0.67621,0,<- LEFT,FORWARD,0.2925,0.2967
14.0043,0.42077,0.67622,0,<- LEFT,FORWARD,0.3065,0.2844
14.0733,0.42073,0.67613,0,<- LEFT,FORWARD,0.3065,0.2844
14.1421,0.42076,0.6761,0,<- LEFT,FORWARD,0.3065,0.2851
14.21,0.42091,0.67611,0,<- LEFT,FORWARD,0.3255,0.2988
14.2559,0.42097,0.6761,0,<- LEFT,FORWARD,0.3255,0.2988
14.3198,0.42109,0.67605,0,<- LEFT,FORWARD,0.3115,0.2988
14.3806,0.42114,0.67599,0,<- LEFT,FORWARD,0.3115,0.3059
14.4478,0.42174,0.67594,0,<- LEFT,FORWARD,0.3207,0.3114
14.4961,0.42225,0.67593,0,<- LEFT,FORWARD,0.3207,0.2851
14.5567,0.42249,0.67589,0,<- LEFT,FORWARD,0.3174,0.2851
14.6359,0.42111,0.67362,0,<- LEFT,FORWARD,0.3348,0.3397
14.7055,0.42084,0.67279,0,<- LEFT,FORWARD,0.3246,0.3345
14.7687,0.42077,0.67261,0,<- LEFT,FORWARD,0.3109,0.3345
14.8272,0.42024,0.67258,0,<- LEFT,FORWARD,0.3383,0.3374
14.8971,0.42026,0.67221,0,<- LEFT,FORWARD,0.3374,0.3374
14.9547,0.42029,0.67201,0,<- LEFT,FORWARD,0.3383,0.3374
15.0215,0.41995,0.67185,0,<- LEFT,FORWARD,0.3423,0.3374
15.0988,0.4197,0.67163,0,<- LEFT,FORWARD,0.3423,0.3374
15.1617,0.41958,0.67154,0,<- LEFT,FORWARD,0.3423,0.3342
15.2035,0.41966,0.67088,0,<- LEFT,FORWARD,0.3423,0.3482
15.2697,0.41953,0.67042,0,<- LEFT,FORWARD,0.3289,0.3251
15.3356,0.41958,0.67013,0,<- LEFT,FORWARD,0.3296,0.329
15.399,0.41958,0.67012,0,<- LEFT,FORWARD,0.3296,0.329
15.4622,0.41961,0.67016,0,<- LEFT,FORWARD,0.339,0.3214
15.5253,0.41962,0.67007,0,<- LEFT,FORWARD,0.3423,0.3214
15.5842,0.41945,0.67548,0,<- LEFT,FORWARD,0.297,0.2789
15.6506,0.41961,0.67588,0,<- LEFT,FORWARD,0.3007,0.2789
15.7146,0.42404,0.67561,0,<- LEFT,FORWARD,0.3034,0.2973
15.7796,0.42495,0.67566,0,<- LEFT,FORWARD,0.3174,0.2851
15.8491,0.42543,0.67551,0,<- LEFT,FORWARD,0.3255,0.3014
15.9194,0.42525,0.67554,0,<- LEFT,FORWARD,0.3065,0.3014
15.9799,0.42464,0.67567,0,<- LEFT,FORWARD,0.3059,0.2973
16.0409,0.42438,0.6757,0,<- LEFT,FORWARD,0.2836,0.3014
16.0983,0.42124,0.67572,0,<- LEFT,FORWARD,0.2919,0.2871
16.1547,0.41811,0.67522,0,<- LEFT,FORWARD,0.2919,0.3023
16.2221,0.41743,0.67502,0,<- LEFT,FORWARD,0.2919,0.2919
16.282,0.41532,0.67425,0,<- LEFT,FORWARD,0.2925,0.3114
16.3452,0.41493,0.6742,0,<- LEFT,FORWARD,0.3065,0.2988
16.4124,0.41473,0.67399,0,<- LEFT,FORWARD,0.3065,0.2988
16.4743,0.41434,0.67379,0,<- LEFT,FORWARD,0.3158,0.2823
16.5188,0.4145,0.67371,0,<- LEFT,FORWARD,0.3158,0.2782
16.5715,0.4146,0.67355,0,<- LEFT,FORWARD,0.287,0.2782
16.6328,0.41509,0.67327,0,<- LEFT,FORWARD,0.2785,0.2693
16.6969,0.41551,0.67303,0,<- LEFT,FORWARD,0.2924,0.2979
16.7751,0.41684,0.67312,0,<- LEFT,FORWARD,0.2925,0.2921
16.8325,0.41742,0.67331,0,<- LEFT,FORWARD,0.3065,0.2997
16.9009,0.41758,0.67346,0,<- LEFT,FORWARD,0.3065,0.3014
16.964,0.41815,0.67367,0,<- LEFT,FORWARD,0.3065,0.2988
17.0313,0.41836,0.67323,0,<- LEFT,FORWARD,0.3065,0.2844
17.1061,0.41856,0.67292,0,<- LEFT,FORWARD,0.2925,0.2988
17.173,0.41864,0.67339,0,<- LEFT,FORWARD,0.3115,0.3167
17.2578,0.41872,0.67373,0,<- LEFT,FORWARD,0.3065,0.288
17.3264,0.41875,0.67377,0,<- LEFT,FORWARD,0.3158,0.2967
17.3685,0.41875,0.67385,0,<- LEFT,FORWARD,0.3065,0.2967
17.436,0.4188,0.67385,0,<- LEFT,FORWARD,0.3158,0.288
17.5034,0.41883,0.6738,0,<- LEFT,FORWARD,0.3158,0.2871
17.5679,0.41859,0.6743,0,<- LEFT,FORWARD,0.3065,0.2836
17.6145,0.41836,0.67421,0,<- LEFT,FORWARD,0.3207,0.2836
17.6813,0.41828,0.67416,0,<- LEFT,FORWARD,0.3207,0.2836
17.7607,0.41825,0.67426,0,<- LEFT,FORWARD,0.3065,0.2836
17.8326,0.41805,0.67416,0,<- LEFT,FORWARD,0.3114,0.2979
17.8981,0.41798,0.67412,0,<- LEFT,FORWARD,0.3114,0.2988
17.9652,0.4181,0.67405,0,<- LEFT,FORWARD,0.3114,0.2988
18.0327,0.41865,0.67404,0,<- LEFT,FORWARD,0.3158,0.3114
18.0965,0.41875,0.67403,0,<- LEFT,FORWARD,0.3158,0.3114
